repo_name,commit_sha,time_stamp,add_lib,rem_lib,commit_message,pattern,possible_reason,num,domain,type,is_migration,confidence,reason_label
1and1/cosmo,6c2b53530187b9f73b5bcace79a85d5dc2c67384,2016-04-01 07:39:29,org.mariadb.jdbc:mariadb-java-client,mysql:mysql-connector-java,Replaced mysql dependency with mariadb.,org.mariadb.jdbc:mariadb-java-client mysql:mysql-connector-java,"
Replaced mysql dependency with mariadb.",16,Database,,1,0.98,
1and1/cosmo,bcd41c77cffb67b10cc604a53ec74b4bc08782c8,2016-04-11 07:59:33,org.apache.tomcat:tomcat,commons-dbcp:commons-dbcp,"Use MariaDB driver instead of Mysql.
Use tomcat jdbc data source instead of commons-dbcp.",org.apache.tomcat:tomcat commons-dbcp:commons-dbcp,"
Use tomcat jdbc data source instead of commons-dbcp.",5,Database&Web Framework,,1,0.9,
1and1/cosmo,63d257a32ef4b5ed5d0204f8df6400da22ee32c8,2020-03-19 16:30:14,org.slf4j:slf4j,commons-logging:commons-logging,feat: use slf4j instead of commons-logging,org.slf4j:slf4j commons-logging:commons-logging,"
feat: use slf4j instead of commons-logging",39,Logging,,1,0.97,
52North/WPS,97de48f12a61e52811fc891d0785a7fe5d703593,2013-07-09 13:09:45,ch.qos.logback:logback,log4j:log4j,"adjust poms: remove log4j, add slf4j+logback",ch.qos.logback:logback log4j:log4j,"
adjust poms: remove log4j, add slf4j+logback",58,Logging,,1,0.9,
52North/WPS,97de48f12a61e52811fc891d0785a7fe5d703593,2013-07-09 13:09:45,ch.qos.logback:logback,org.slf4j:slf4j,"adjust poms: remove log4j, add slf4j+logback",ch.qos.logback:logback org.slf4j:slf4j,"
adjust poms: remove log4j, add slf4j+logback",67,Logging,,1,0.9,
52North/WPS,97de48f12a61e52811fc891d0785a7fe5d703593,2013-07-09 13:09:45,org.slf4j:log4j-over-slf4j,log4j:log4j,"adjust poms: remove log4j, add slf4j+logback",org.slf4j:log4j-over-slf4j log4j:log4j,"adjust poms: remove log4j, add slf4j+logbackadjust poms: remove log4j, add slf4j+logback",27,Logging,,1,0.9,
52North/WPS,97de48f12a61e52811fc891d0785a7fe5d703593,2013-07-09 13:09:45,org.slf4j:log4j-over-slf4j,org.slf4j:slf4j,"adjust poms: remove log4j, add slf4j+logback",org.slf4j:log4j-over-slf4j org.slf4j:slf4j,"adjust poms: remove log4j, add slf4j+logback",26,Logging,,1,0.9,
99soft/guartz,9a0a7dd8fdd0fdb01e5e9f9c4a74029e677aa7c8,2011-03-30 13:41:07,ch.qos.logback:logback,log4j:log4j,"removed log4j, switched to slf4j+logback",ch.qos.logback:logback log4j:log4j,"
removed log4j, switched to slf4j+logback",58,Logging,,1,0.93,
99soft/guartz,9a0a7dd8fdd0fdb01e5e9f9c4a74029e677aa7c8,2011-03-30 13:41:07,ch.qos.logback:logback,org.slf4j:slf4j,"removed log4j, switched to slf4j+logback",ch.qos.logback:logback org.slf4j:slf4j,"
removed log4j, switched to slf4j+logback",67,Logging,,1,0.93,
aadnk/ProtocolLib,b54dd49426f1c4cb5a15d1702a4803af1846847e,2021-01-04 05:24:34,net.bytebuddy:byte-buddy,cglib:cglib,"Replace CGLib with ByteBuddy (#984)

- The gclib dependency in the EnchancerFactory has been removed. All classes that used the actual factory part of it have been updated to use bytebuddy instead. This class will have to be removed at some point, but at the moment it is still used for accessing its class loader.
- Renamed EnhancerFactory to ByteBuddyFactory. All ByteBuddy actions should go through this now. Every subclass created here implements the ByteBuddyGenerated interface. This makes it possible to recognize classes generated using ByteBuddy (by default, it doesn't leave such a trace).
- Removed the method DefaultInstances#forEnhancer(Enhancer). This method isn't used anywhere; the last trace of usage of the method I could find was in 2013 (in the NetworkServerInjector). External plugins (I couldn't find any that used it), they should really have their own implementation, given that they already require an instance of an Enchancer. As such, I feel it is safe to remove rather than update it.",net.bytebuddy:byte-buddy cglib:cglib,"
Replace CGLib with ByteBuddy (#984)",4,Building,,1,0.98,
Accenture/mercury,6a938c75338aae4acaf2718bb2ce45f07f8fa330,2019-04-21 14:51:30,com.google.code.gson:gson,com.fasterxml.jackson,replace Jackson with Gson,com.google.code.gson:gson com.fasterxml.jackson,"
replace Jackson with Gson",4,Serialization,,1,0.97,
aeremenok/swing-formbuilder,7546c93c13c32351e814c9caab75018251754c2b,2013-05-01 15:47:08,com.google.guava:guava,com.google.collections:google-collections,replace google-collections by guava to avoid classpath conflicts while using both,com.google.guava:guava com.google.collections:google-collections,"
replace google-collections by guava to avoid classpath conflicts while using both",28,Utility,,1,0.98,Integration
AgNO3/jcifs-ng,fa317402b7f629538dcb272430b32f722a5d4b94,2017-03-13 15:40:26,org.slf4j:slf4j,log4j:log4j,"Switch to SLF4J logging API

For now tests still use log4j12 impl, but users are free to choose.
Users will now have to add an SLF4J logger implementation on the classpath, otherwise a warning will be produced.",org.slf4j:slf4j log4j:log4j,"
For now tests still use log4j12 impl, but users are free to choose.
Switch to SLF4J logging API",26,Logging,,1,0.95,
ahus1/bdd-examples,6f01e5744eb2eb772b09abab8678445d66096815,2015-07-27 19:11:17,org.assertj:assertj-core,org.easytesting:fest-assert,moving along the assertJ road,org.assertj:assertj-core org.easytesting:fest-assert,"
moving along the assertJ road",49,Testing,,1,0.9,
aicis/fresco,108a187665043246f8fe956fd750a3936741cdf8,2016-11-29 12:38:46,com.h2database:h2,mysql:mysql-connector-java,Changed mysql connector to h2,com.h2database:h2 mysql:mysql-connector-java,"
Changed mysql connector to h2",7,Database,,1,0.95,
airlift/airlift,008e77a2120ebac8fa3d638b8ef44de98f0fd9c6,2021-03-30 19:23:01,net.bytebuddy:byte-buddy,cglib:cglib,Replace cglib with Byte Buddy for Java 16 compatibility,net.bytebuddy:byte-buddy cglib:cglib,"
Replace cglib with Byte Buddy for Java 16 compatibility",4,Building,,1,0.98,Integration
alexruiz/fest-reflect,feacbc2bbde44b4e307f2e729bdde41506e9aff5,2009-11-23 21:09:21,junit:junit,org.testng:testng,"IN PROGRESS - issue FEST-235: Add API to reflect bean properties 
http://jira.codehaus.org/browse/FEST-235

* Updated dependencies to latest versions (FEST-Util, FEST-Assert and FEST-Test.)
* Migrated tests to JUnit.
* Reorganized tests into smaller units.",junit:junit org.testng:testng,"
* Updated dependencies to latest versions (FEST-Util, FEST-Assert and FEST-Test.)
* Migrated tests to JUnit.",47,Testing,,1,0.95,
alexruiz/fest-swing-1.x,033bdd7832ca9a9647c8f7b7ecaa985d3115b206,2009-11-23 21:09:21,junit:junit,org.testng:testng,"IN PROGRESS - issue FEST-235: Add API to reflect bean properties 
http://jira.codehaus.org/browse/FEST-235

* Updated dependencies to latest versions (FEST-Util, FEST-Assert and FEST-Test.)
* Migrated tests to JUnit.
* Reorganized tests into smaller units.",junit:junit org.testng:testng,"
* Updated dependencies to latest versions (FEST-Util, FEST-Assert and FEST-Test.)
* Migrated tests to JUnit.",47,Testing,,1,0.95,
Alfresco/alfresco-community-repo,bdba166058ff06fecd4be706de132459b3243e68,2014-02-12 08:06:09,com.google.guava:guava,com.google.collections:google-collections,"Merged HEAD-BUG-FIX (4.3/Cloud) to HEAD (4.3/Cloud)
   59850: Merged BRANCHES/DEV/mward/head_bf_gdata_upgd to BRANCHES/DEV/HEAD-BUG-FIX (upgrade gdata libs):
      59515: Removed gdata-1.45.0 libraries.
      59516: Removed concurrentlinkedhashmap-lru-1.2 library.
      59518: Added gdata-1.47.1 library JARs (dependencies to follow)
      59521: Added gdata-1.47.1 dependencies (guava-11.0.2 and JSR-305)
      59524: Updated ant build files to use gdata-1.47.1
      59528: Removed outdated gdata-1.45.0 src zip.
      59530: Added gdata-1.47.1 src zip
      59531: Update eclipse .classpath with gdata 1.47.1 libraries
      59532: Exported new gdata-1.47.1 and guava-11 libs from 3rd party project
      59559: Fix DefaultSimpleCache to use a Guava Cache, replacing ConcurrentLinkedHashMap usage.
      59568: Reverted r59516: concurrentlinkedhashmap lib is required by Surf.
      59572: Replaced use of google-collections with guava in repository's pom.xml


git-svn-id: https://svn.alfresco.com/repos/alfresco-enterprise/alfresco/HEAD/root@62191 c4b6b30b-aa2e-2d43-bbcb-ca4b014f7261",com.google.guava:guava com.google.collections:google-collections,"
59572: Replaced use of google-collections with guava in repository's pom.xml",28,Utility,,1,0.97,
