commit,add_lib,rem_lib,message,time_stamp,src,rule,url,domain,prj_language,new_src,is_migration,confidence,migration_type,reason_label
00ac2b493c69c9e15fc1f07932e2ab7d49597b91,nlohmann_json,rapidjson,Uses nlohmann_json instead of rapidjson,1584105712+0800,conan,rapidjson nlohmann_json,https://github.com/timothyqiu/http-client,serializing,C++,conan,1,1.0,lib_replacement,
803bfd422ddee0c6b490130929ed33db7dea9862,eigen,glm,change glm to Eigen\n\n,1573953140+0300,conan,glm eigen,https://github.com/ackeardoct/aster,computing,C,conan,1,1.0,lib_replacement,
01e62f1d30bba4019060ecf936857bf31389368e,benchmark,google-benchmark,Replace bintray (#397)\n\n* Update Conan package versions    * Change to test Jenkins shared lib version    * Revert Jenkins shared lib to main version    * Update Conan dependency    * Update failing unit test    * Update Conan remote URLs in README,1619424514+0200,conan,google-benchmark benchmark,https://github.com/ess-dmsc/event-formation-unit,testing,C++,conan,1,0.8,pkg_rule,
8103c103ca49f556dcb7af6638458bfa13644419,boost_fiber,boost_coroutine,Switch from coroutines (which weren't supported anyway) to Boost.Fiber. Source needs updated.,1545601358-0600,conan,boost_coroutine boost_fiber,https://github.com/cinderblocks/liblinden,OS Dev,C++,conan,1,0.9,lib_replacement,Deprecation
8179f37b1cc889cb48bd369d74477bb0194d4cac,google-benchmark,benchmark,Merge branch 'master' into v0.5.0,1582153067+0100,conan,benchmark google-benchmark,https://github.com/shapelets/khiva,testing,C++,conan,1,0.9,pkg_rule,
0402ee16bc6e2003a82c3aade5f8356399f9038f,msgpack-cxx,msgpack,update boost and msgpack (#195)\n\n,1664376379+0300,conan,msgpack msgpack-cxx,https://github.com/duckstax/ottergon,serializing,C++,conan,1,0.8,pkg_rule,
043f4933581ff2902222eb7fdbf24e94a2694d0c,boost,boost_asio,[+] cmakelist [~] lib test,1600725619+0200,conan,boost_asio boost,https://github.com/arzeo68/Babel-cpp,network,C++,conan,1,0.9,pkg_rule,
8408dd5f5e965c3fc97cc015c7cb9fb9b67dc7cc,nlohmann_json,json11,enh(conan): cbd builds with conan-center now.\n\n* fix(json): json11 changed to nlohmann_json  * enh(conan): All our external packages come from the conan center  * fix(test/config): fix somes parser tests  * fix(conan): update cmake.sh  * fix(bam): unittest could fail because of a missing loop test.  * fix(link): several link issues  * fix(stats): The center could segfault if the strand is not empty at destruction    Co-authored-by: centreonpm <pmargale@centreon.com>  Co-authored-by: Gres Remi <rgres@centreon.com>    REFS: MON-7244,1620657417+0200,conan,json11 nlohmann_json,https://github.com/centreon/centreon-broker,serializing,C++,conan,1,1.0,lib_replacement,Integration
8482e6567fb7b01b4de3c41ba70520bdf87af36e,sqlitecpp,sqlite3,Replace sqlite3 with SQLiteCpp and use new connection handles for every request instead of keeping and reusing a single handle. SQLite good practices recommend creating and disposing of connections when needed.,1588970228+0200,conan,sqlite3 sqlitecpp,https://github.com/bendardenne/medor,database,C++,conan,1,1.0,lib_replacement,
8490827d53c59cbe77429fee485ef61886e5541e,nlohmann_json,rapidjson,Revert back to nlohmann (schemas aren't doable),1678662305+0100,conan,rapidjson nlohmann_json,https://github.com/e2fo2l/Nabla2D,serializing,C++,conan,1,0.9,lib_replacement,Functionality
84c418e0c859cdb5b681dcb70dbce93b0bcc0b94,boost,boost_range,Fixed rot13 example to work with new conan setup.,1599723765+0200,conan,boost_range boost,https://github.com/KazDragon/telnetpp,other,C++,conan,1,0.9,pkg_rule,
84d02422337f9093b2e9e222aecabeb9b354a48c,boost_asio,boost,:hammer: Only build boost necessary features.,1569163787+0200,conan,boost boost_asio,https://github.com/LiardeauxQ/Babel,network,C++,conan,1,0.9,pkg_rule,
054ba9cfb14b8d0bc19e2f815f6aa39fe207b0c7,benchmark,google-benchmark,Update conan packages,1581586751+0000,conan,google-benchmark benchmark,https://github.com/ess-dmsc/NeXus-Streamer,testing,C++,conan,1,0.8,pkg_rule,
05b7b8ca03cd3043aa2422837ccf7d4689cbe3c5,boost_asio,boost,initial commit,1598005092+0700,conan,boost boost_asio,https://github.com/freshertm/test_task,network,C++,conan,1,0.95,pkg_rule,
85241d3407c35bcf44e2b842dd5fc10b4a20fb74,boost_coroutine2,boost,Use modularized boost from bincrafters again instead of hole conan-boost package.,1522864017+0200,conan,boost boost_coroutine2,https://github.com/mrpi/CoAwaitLib,OS Dev,C++,conan,1,0.8,pkg_rule,
85241d3407c35bcf44e2b842dd5fc10b4a20fb74,boost_asio,boost,Use modularized boost from bincrafters again instead of hole conan-boost package.,1522864017+0200,conan,boost boost_asio,https://github.com/mrpi/CoAwaitLib,network,C++,conan,1,0.8,pkg_rule,
868063870148caaa795b6931d07504765ba2b9b4,msgpack-cxx,msgpack,conanfile: switch to msgpack-cxx\n\nmsgpack is deprecated in favor of msgpack-c/msgpack-cxx,1641579315+0200,conan,msgpack msgpack-cxx,https://github.com/Lihis/ets2-job-logger,serializing,C++,conan,1,0.5,lib_replacement,Deprecation
888a7e5a88d4e21079f09fdb13facce29ddf0aa5,rapidjson,jsoncpp,"use rapidjson, fixed discovery json",1674549587-0600,conan,jsoncpp rapidjson,https://github.com/hack-s/lirc-mqtt,serializing,C++,conan,1,0.9,lib_replacement,
888c7c9f9c87e3c86fec57fa7982d4d231e1a3a1,nlohmann_json,json11,fix(conan): build using conan-center works again\n\n* fix(json): json11 changed to nlohmann_json  * enh(conan): All our external packages come from the conan center  * fix(test/config): fix somes parser tests  * enh(influxdb/test): all tests works fine  * fix(tcp): warning removed in unittests compilation  * fix(bam): unittest could fail because of a missing loop test.  * fix(link): several link issues  * fix(stats): The center could segfault if the strand is not empty at destruction    Co-authored-by: centreonpm <pmargale@centreon.com>,1620659762+0200,conan,json11 nlohmann_json,https://github.com/centreon/centreon-broker,serializing,C++,conan,1,1.0,lib_replacement,Integration
88b72b635d97821e38b2c3a1f27ab52769460391,onetbb,tbb,updating for 2022,1645243432-0800,conan,tbb onetbb,https://github.com/tomcool420/simulatorswtor,computing,C++,conan,1,0.8,pkg_rule,
8908c1d6417e128b4fa428ee2e87406df801545f,poco,cpp-netlib-uri,Removing last of the eternal dependencies   Switched from old cpp-netlib to poco,1613806260-0700,conan,cpp-netlib-uri poco,https://github.com/vortarian/advanced-flex-server,network,C++,conan,1,1.0,lib_replacement,
89486f9f9699c2f59671800e4c3c597ee315de97,tinyobjloader,assimp,Delete assimp dependency for now and replace it with tinyobjloader as it's more lightweight and will suffice all the requirements for now.,1569602587+0300,conan,assimp tinyobjloader,https://github.com/dmitr101/lsr,GUI,C++,conan,1,1.0,lib_replacement,SizeComplexity
0a01a914da9bff9561bb9431e8649957dde33f58,sparql-parser,sparql-parser-base,integrate sparql parser,1612528898+0100,conan,sparql-parser-base sparql-parser,https://github.com/dice-group/tentris,database,C++,conan,1,0.7,pkg_rule,
8a14fb4021c2acea3bbc1cac06ed3dcc295eb4fd,fmt,spdlog,remove SPDLOG to see if the compilation could be faster,1628151449+0800,conan,spdlog fmt,https://github.com/KieQ/heroku-kies,logging,C++,conan,1,0.9,pkg_rule,
8a3c958a3bc648156e80c45e02b50fbb88a05eb9,boost_asio,boost,finished network base,1538352831+0200,conan,boost boost_asio,https://github.com/Clemon-R/Babel,network,C++,conan,1,0.95,pkg_rule,
8a7636604e0b8336862903839cd699d6b2ace971,sparql-parser,sparql-parser-base,integrate sparql parser (#82)\n\n* integrated new sparql parser  * updated versions of dependencies    Co-authored-by: nkaralis <nkaralis@mail.uni-paderborn.de>  Co-authored-by: @Shaheen47,1624608363+0200,conan,sparql-parser-base sparql-parser,https://github.com/dice-group/tentris,database,C++,conan,1,0.7,pkg_rule,
0baacce937fc87192ab1fc7d039458d09afa34d7,eigen,glm,Merge branch 'master' of https://github.com/LangArthur/RayTracer,1586902975+0200,conan,glm eigen,https://github.com/LangArthur/RayTracer,computing,C++,conan,1,0.95,pkg_rule,
0dde49cd253ab6ef7e620062b5edccf70331d083,dr_wav,audeering-libs,Merge branch 'remove-audeering-libs' into 'master'\n\nRemove audeering-libs dependency and use dr_wav for audio file I/O\n\nSee merge request tools/audresamplelib!8,1605802045+0000,conan,audeering-libs dr_wav,https://github.com/audeering/audresamplelib,Multi Media,C,conan,1,1.0,lib_replacement,
8df068cb6da8f262313f0f8c5ba5bb8b47cc4fd4,benchmark,catch2,First naive benchmark,1598466371-0400,conan,catch2 benchmark,https://github.com/aurelienserre/ecole,testing,C++,conan,1,0.9,pkg_rule,
0e53e07309a46ede124b0d9e8e35bf3c455cda7c,boost,boost_coroutine2,Use other conan boost package (try to make travis.io work),1522793941+0200,conan,boost_coroutine2 boost,https://github.com/mrpi/CoAwaitLib,OS Dev,C++,conan,1,0.9,pkg_rule,
0e53e07309a46ede124b0d9e8e35bf3c455cda7c,boost,boost_asio,Use other conan boost package (try to make travis.io work),1522793941+0200,conan,boost_asio boost,https://github.com/mrpi/CoAwaitLib,network,C++,conan,1,0.9,pkg_rule,
0ef9980e5925bb66e5eb55b788bbd0dd20518986,benchmark,google-benchmark,Merge remote-tracking branch 'origin/main' into canada,1621031113-0500,conan,google-benchmark benchmark,https://github.com/mattgodbolt/pt-three-ways,testing,C++,conan,1,0.95,pkg_rule,
0f9d080c140ad853097cf2d51408287b073f774a,libhal-lpc40xx,liblpc40xx,"fixes broken arm with updated libhal- changes, add readme commands to root",1674351140-0800,conan,liblpc40xx libhal-lpc40xx,https://github.com/SJSURoboticsTeam/urc-control-system-2023,OS Dev,C++,conan,1,0.8,pkg_rule,
8f0783bada9fa6d08e3aaf8dabf62342c74ff3e7,assimp,tinygltf,"Adding assimp, skeletal animations, removing tinygltf, (tinyobj is next to go)",1655410764-0700,conan,tinygltf assimp,https://github.com/ZackMason/ActuallyAGameEngine,GUI,C,conan,1,0.9,lib_replacement,
8f1b63d122988fd8eb0591a7b40a357172ee716d,libcurl,curl,:wrench: Replaced curl with bincrafters libcurl\n\n,1541150418+0100,conan,curl libcurl,https://github.com/RigsOfRods/rigs-of-rods,network,C++,conan,1,0.8,pkg_rule,
8f55b96e45c9964c2515f5a4b02c0f9dae7f421f,boost,boost_coroutine2,MSVC2017 compatibility,1590155629+0200,conan,boost_coroutine2 boost,https://github.com/mrpi/CoAwaitLib,OS Dev,C++,conan,1,0.95,pkg_rule,
8f55b96e45c9964c2515f5a4b02c0f9dae7f421f,boost,boost_asio,MSVC2017 compatibility,1590155629+0200,conan,boost_asio boost,https://github.com/mrpi/CoAwaitLib,network,C++,conan,1,0.95,pkg_rule,
8ff651e818eb40cb8f3767874233b36b7705641c,fmt,spdlog,build(conan): add fmt remove spdlog,1598498513-0500,conan,spdlog fmt,https://github.com/spjuanjoc/game_project_cpp,logging,C++,conan,1,0.8,pkg_rule,
