repo_name,commit_sha,time_stamp,add_lib,rem_lib,commit_message,pattern,possible_reason,num,domain,type,is_migration,confidence,reason_label
500tech/angular-kick,170e4292e92d5b518b5582d6b9997fe920908da0,2015-08-24 07:10:37,webpack,gulp,replace gulp with webpack,webpack gulp,"
replace gulp with webpack",16,Building&Web Framework,,1,0.95,
ACloudGuru/serverless-workshop,3a24a9cf577655a3e136a6056f2c8a16e563d24c,2019-06-26 05:26:10,firebase-admin,firebase,"Updated versions of local server to remove vulnerable packages, removed depricated firebase package from lab 5 and replaced with firebase admin package, removed redundant variables",firebase-admin firebase,"
Updated versions of local server to remove vulnerable packages, removed depricated firebase package from lab 5 and replaced with firebase admin package, removed redundant variables",3,HTTP Clients,,1,0.8,Security
adonisjs/adonis-framework,4a702c1a3bd1f057fe1dc230103e2beb2b7e05bb,2019-01-22 10:24:18,nyc,istanbul,ci: use japa-cli and nyc over istanbul,nyc istanbul,"
ci: use japa-cli and nyc over istanbul",9,Testing,,1,0.8,
ahdinosaur/slush-pages,f7e9ebe5e1573ba6c6fcb0dcdf0258665d0d114a,2015-06-30 07:00:38,gh-pages,gh-pages-deploy,"use gh-pages instead of gh-pages-deploy, close #1",gh-pages gh-pages-deploy,"
use gh-pages instead of gh-pages-deploy, close #1",3,Building,,1,0.9,
akabekobeko/examples-electron,04bbf152584e6490920800cc15e9f261193bf331,2017-12-20 10:34:21,webpack,browserify,#118 Move from Browserify to webpack,webpack browserify,"
#118 Move from Browserify to webpack",9,HTTP Clients&Web Framework,,1,1.0,
akabekobeko/examples-electron,54bc2b04c324af225f8ed02e22f3632c89567675,2019-04-28 12:23:20,jest,@types/mocha,#141 Change the test framework from Mocha to Jest,jest @types/mocha,"
#141 Change the test framework from Mocha to Jest",3,Typescript&Testing,,1,0.8,
akabekobeko/examples-electron,54bc2b04c324af225f8ed02e22f3632c89567675,2019-04-28 12:23:20,ts-jest,@types/mocha,#141 Change the test framework from Mocha to Jest,ts-jest @types/mocha,"
#141 Change the test framework from Mocha to Jest",3,Typescript&Testing,,1,0.8,
akabekobeko/examples-electron,54bc2b04c324af225f8ed02e22f3632c89567675,2019-04-28 12:23:20,@types/jest,mocha,#141 Change the test framework from Mocha to Jest,@types/jest mocha,"
#141 Change the test framework from Mocha to Jest",4,Testing,,1,0.8,
akabekobeko/examples-electron,54bc2b04c324af225f8ed02e22f3632c89567675,2019-04-28 12:23:20,jest,mocha,#141 Change the test framework from Mocha to Jest,jest mocha,"
#141 Change the test framework from Mocha to Jest",12,Testing,,1,0.8,
akabekobeko/examples-electron,f8aa33e9069b3e2015505a614c1ab3680fcc28a7,2020-09-17 09:04:08,@types/styled-components,mini-css-extract-plugin,"#152 #153 Change CSS Modules to styled-components, and support Electron v10.x",@types/styled-components mini-css-extract-plugin,"
#152 #153 Change CSS Modules to styled-components, and support Electron v10.x",3,UI&Typescript,,1,0.75,
akabekobeko/examples-web-app,f1c02d26dd8366a951e4544e8e2b809660c711b9,2018-04-02 11:33:27,mini-css-extract-plugin,extract-text-webpack-plugin,#73 Use webpack v4 and mini-css-extract-plugin,mini-css-extract-plugin extract-text-webpack-plugin,"
#73 Use webpack v4 and mini-css-extract-plugin",18,UI,,1,0.97,Integration
alexa/alexa-skills-kit-sdk-for-nodejs,7265239581fe7aa0654f5b095f86482a60499b0a,2020-08-14 21:35:29,eslint,tslint,"feat: eslint migration and fixes, git workflows and updates on package.json for ask-sdk-runtime",eslint tslint,"feat: eslint migration and fixes, git workflows and updates on package.json for ask-sdk-runtime",26,Testing,,1,0.98,
alexa/alexa-skills-kit-sdk-for-nodejs,7265239581fe7aa0654f5b095f86482a60499b0a,2020-08-14 21:35:29,typescript-eslint,tslint,"feat: eslint migration and fixes, git workflows and updates on package.json for ask-sdk-runtime",typescript-eslint tslint,"feat: eslint migration and fixes, git workflows and updates on package.json for ask-sdk-runtime",24,Testing,,1,0.98,
alexa/skill-sample-nodejs-zero-to-hero,96df89e7a1bce98280bf3325c47414440e171d7e,2019-04-06 00:01:04,axios,node-fetch,Changed node-fetch for axios to access the external API,axios node-fetch,"
Changed node-fetch for axios to access the external API",3,HTTP Clients,,1,1.0,
AlexGalays/kaiju,1f2f84d52af2c171581187493e34b9d4c34c67e8,2017-01-14 22:58:21,ts-loader,awesome-typescript-loader,"- Simplify the Observable package; Everything should be accessed from the Observable object now
- Remove fromPromise/partition, make it return a union type instead
- Better typings for Observable.fromEvent; e.g, 'click' returns a MouseEvent, not just an Event


Example
 - The ajax Observable now contains a RemoteData union type. It is no longer needed to subscribe to 3 different observables
 - Pressing ESCAPE closes the popup
 - Use ts-loader as awesome-typescript-loader was not being awesome
 - Remove the forceProps snabbdom module. It is not proven it's actually useful",ts-loader awesome-typescript-loader,"
- Pressing ESCAPE closes the popup
- Use ts-loader as awesome-typescript-loader was not being awesome
- Remove the forceProps snabbdom module.",10,Web Framework,,1,0.98,
algolia/algoliasearch-zendesk,b82f1bc6581e77f0f017952fffec62df89be4e72,2016-01-18 15:22:24,gulp,grunt,"chore(build): Replace grunt by gulp

As a side effect:
- Actual sourcemaps handling
- Easy and cross platform integration of babel-istanbul",gulp grunt,"
chore(build): Replace grunt by gulp",14,Building,,1,1.0,Functionality
alleyinteractive/irving,a12f211dfd6ad08e046bf780462a7827e064ee0e,2021-02-15 23:19:38,testing-library,enzyme-adapter-react,"fix(test): remove enzyme entirely, replace integrations test with testing library",testing-library enzyme-adapter-react,"
fix(test): remove enzyme entirely, replace integrations test with testing library",4,Testing,,1,0.95,
alleyinteractive/irving,a12f211dfd6ad08e046bf780462a7827e064ee0e,2021-02-15 23:19:38,testing-library,enzyme,"fix(test): remove enzyme entirely, replace integrations test with testing library",testing-library enzyme,"
fix(test): remove enzyme entirely, replace integrations test with testing library",3,Testing,,1,0.95,
alleyinteractive/irving,4991a563330d721f9cd992ef03887998554ba005,2021-03-26 15:03:26,css-minimizer-webpack-plugin,optimize-css-assets-webpack-plugin,fix(webpack): fix css minimizer,css-minimizer-webpack-plugin optimize-css-assets-webpack-plugin,"
fix(webpack): fix css minimizer",17,Web Framework&UI,,1,0.5,
AlloyTeam/Nuclear,a7324ef3a68bf310f1e95db01d370955518bcffc,2019-04-26 03:57:19,preact,react,omire - using preact,preact react,"
omire - using preact",8,UI,,1,0.9,
AlloyTeam/Nuclear,764dfaf052f533fc63fe18043cc457ac48a8dd1c,2021-07-11 07:38:33,vite,webpack,refactor:(omi-snake): rewrite and build the project with the latest vite template of omi cli,vite webpack,"
refactor:(omi-snake): rewrite and build the project with the latest vite template of omi cli",3,Web Framework&Building,,1,0.85,
AlloyTeam/Nuclear,3ed50129eeae92e8e812e61f2fa752ed622511f8,2019-04-26 07:17:39,react,preact,omire - fix react event not fire in shadow dom,react preact,"omire - fix react event not fire in shadow dom
",7,UI,,1,0.5,
Altoros/fabric-rest,e41f701a2fc09f5f41260174a0bc4e73b9bad904,2018-10-01 10:33:15,eslint,jshint,moved to ESLint,eslint jshint,"
moved to ESLint",16,Testing,,1,0.95,
amazeeio/lagoon,2d6e93d424bb04daa80f6dd155e391d1361b292c,2018-12-10 16:31:36,apollo,express-graphql,Switch to apollo-server-express for graphql server,apollo express-graphql,"
Switch to apollo-server-express for graphql server",3,Utility,,1,0.9,
AnalyzeOrFeed/aof-replay-client,c4f61a90cdad2252e44e3ce5ab6a84caae3e12ab,2016-04-27 15:30:00,lodash,underscore,Create directories recursively. Use lodash instead of underscore.,lodash underscore,"
Create directories recursively.
Use lodash instead of underscore.",9,Building,,1,1.0,
angular/angular-cli,907fedc0b8bebc227e7f70b3740babcaa4678d4a,2018-08-27 17:26:30,terser-webpack-plugin,uglifyjs-webpack-plugin,"feat(@angular-devkit/build-angular): use terser instead of uglify-es (#11996)

Should help bring down prod build times, @SanderElias reported a ~60% reduction on his project.

Should fix #9340.",terser-webpack-plugin uglifyjs-webpack-plugin,"
feat(@angular-devkit/build-angular): use terser instead of uglify-es (#11996)",35,Codestyle&Web Framework,,1,0.95,Performance
angular/mobile-toolkit,0c74a9232badb52acdbfb5de7347e1337008e626,2016-11-03 16:53:53,@types/jasmine,typings,chore(worker): remove typings and switch to @types,@types/jasmine typings,"
chore(worker): remove typings and switch to @types",4,Typescript,,1,0.9,
angular/mobile-toolkit,0c74a9232badb52acdbfb5de7347e1337008e626,2016-11-03 16:53:53,types/node,typings,chore(worker): remove typings and switch to @types,types/node typings,"
chore(worker): remove typings and switch to @types",5,Typescript,,1,0.9,
angular/protractor,4252000dd847399c5c05c561aaf71a5467f94846,2016-08-19 18:56:26,@types/jasmine,typings,"dep(types): typescript and typings dependencies (#3485)

- remove typings dependency, scripts, and gulp task
- add @types dependencies
- clean up globals.ts from npm publishing
- add declaration flag for tsc globals gulp task
- ignore globals.d.ts from tsconfig and .gitignore

closes #3484",@types/jasmine typings,"dep(types): typescript and typings dependencies (#3485)
",4,Typescript,,1,0.95,
angular/protractor,4252000dd847399c5c05c561aaf71a5467f94846,2016-08-19 18:56:26,types/node,typings,"dep(types): typescript and typings dependencies (#3485)

- remove typings dependency, scripts, and gulp task
- add @types dependencies
- clean up globals.ts from npm publishing
- add declaration flag for tsc globals gulp task
- ignore globals.d.ts from tsconfig and .gitignore

closes #3484",types/node typings,"dep(types): typescript and typings dependencies (#3485)
dep(types): typescript and typings dependencies (#3485)
",5,Typescript,,1,0.95,
aol/moloch,312565f100d828677b873fbafbe0820e58081b35,2020-02-17 21:35:52,terser-webpack-plugin,uglifyjs-webpack-plugin,"remove uglifyjs-webpack-plugin and use treser-webpack-plugin

https://github.com/webpack-contrib/uglifyjs-webpack-plugin/issues/362",terser-webpack-plugin uglifyjs-webpack-plugin,"
remove uglifyjs-webpack-plugin and use treser-webpack-plugin",35,Codestyle&Web Framework,,1,0.95,
aol/moloch,b40d66857e057f08709a3f79047c07eb0bfd773c,2018-07-27 19:08:31,eslint,jshint,"Squashed commit of the following:

commit cff208324c0068cb41491a066c0b5fbdb3fc2d04
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Fri Jul 27 14:58:57 2018 -0400

    load saved reload interval from localstorage

commit b7db426b45b6361505578cae0d3ba96dcc4d93b1
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Fri Jul 27 14:48:47 2018 -0400

    drag and drop

    drag groups
    drag clusters
    don't allow dropping if groups/clusters are filtered by a search term
    stop autorefresh when dragging

commit 481a8c66cb1a3a7fb4ac297571efb8aa0af72d80
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Thu Jul 26 16:27:56 2018 -0400

    misc fixes

    fix settings page requesting settings twice
    fix settings page not showing the correct tab if no auth
    fix adding a cluster to a group clearing the active issues

commit 22029fc9002b634a64c5f2fa0f20e6ee0770d327
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Thu Jul 26 15:03:30 2018 -0400

    cleanup

    use a single package.json for parliament
    eslint all of parliament and fix errors
    update makefile
    update readme

commit 670cc88912decc85c56e8903d097624ee228aa39
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Wed Jul 25 17:12:54 2018 -0400

    add settings page and remove angular app

commit d46193fe16aba632681d814706a3b7cd3502e3a6
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Fri Jul 20 16:46:14 2018 -0400

    parliament issues page

commit 3883ce3f33eab1ea230488b94385e6d12262f953
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Fri Jul 20 12:36:38 2018 -0400

    only display first 5 issues for a cluster, then allow user to toggle more

commit bf36ba95e708c97c93b41451acec3e53e70ed7aa
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Fri Jul 20 09:46:08 2018 -0400

    intercept response and logout user if there was a problem with the token

commit e532b41b6ba3880de2103d96d781e53802e4fc4f
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Thu Jul 19 17:05:47 2018 -0400

    finish parliament page

commit 5e369381be05fd88292989348438d3f86784dc03
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Wed Jul 18 16:57:40 2018 -0400

    add clusters to parliament page

commit 50c840fd2e67f1dd233be8e95e69f90e6d629ac6
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Tue Jul 17 17:00:33 2018 -0400

    put some stuff on the parliament page

commit 3ca7db03ce13b1ea2879074f88f550931f527927
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Mon Jul 16 17:50:12 2018 -0400

    initial vue parliament scaffolding WIP",eslint jshint,"Squashed commit of the following:
",16,Testing,,1,0.8,
aol/moloch,b40d66857e057f08709a3f79047c07eb0bfd773c,2018-07-27 19:08:31,eslint,tslint,"Squashed commit of the following:

commit cff208324c0068cb41491a066c0b5fbdb3fc2d04
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Fri Jul 27 14:58:57 2018 -0400

    load saved reload interval from localstorage

commit b7db426b45b6361505578cae0d3ba96dcc4d93b1
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Fri Jul 27 14:48:47 2018 -0400

    drag and drop

    drag groups
    drag clusters
    don't allow dropping if groups/clusters are filtered by a search term
    stop autorefresh when dragging

commit 481a8c66cb1a3a7fb4ac297571efb8aa0af72d80
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Thu Jul 26 16:27:56 2018 -0400

    misc fixes

    fix settings page requesting settings twice
    fix settings page not showing the correct tab if no auth
    fix adding a cluster to a group clearing the active issues

commit 22029fc9002b634a64c5f2fa0f20e6ee0770d327
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Thu Jul 26 15:03:30 2018 -0400

    cleanup

    use a single package.json for parliament
    eslint all of parliament and fix errors
    update makefile
    update readme

commit 670cc88912decc85c56e8903d097624ee228aa39
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Wed Jul 25 17:12:54 2018 -0400

    add settings page and remove angular app

commit d46193fe16aba632681d814706a3b7cd3502e3a6
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Fri Jul 20 16:46:14 2018 -0400

    parliament issues page

commit 3883ce3f33eab1ea230488b94385e6d12262f953
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Fri Jul 20 12:36:38 2018 -0400

    only display first 5 issues for a cluster, then allow user to toggle more

commit bf36ba95e708c97c93b41451acec3e53e70ed7aa
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Fri Jul 20 09:46:08 2018 -0400

    intercept response and logout user if there was a problem with the token

commit e532b41b6ba3880de2103d96d781e53802e4fc4f
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Thu Jul 19 17:05:47 2018 -0400

    finish parliament page

commit 5e369381be05fd88292989348438d3f86784dc03
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Wed Jul 18 16:57:40 2018 -0400

    add clusters to parliament page

commit 50c840fd2e67f1dd233be8e95e69f90e6d629ac6
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Tue Jul 17 17:00:33 2018 -0400

    put some stuff on the parliament page

commit 3ca7db03ce13b1ea2879074f88f550931f527927
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Mon Jul 16 17:50:12 2018 -0400

    initial vue parliament scaffolding WIP",eslint tslint,"Squashed commit of the following:
",26,Testing,,1,0.8,
aol/moloch,b40d66857e057f08709a3f79047c07eb0bfd773c,2018-07-27 19:08:31,babel,jshint,"Squashed commit of the following:

commit cff208324c0068cb41491a066c0b5fbdb3fc2d04
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Fri Jul 27 14:58:57 2018 -0400

    load saved reload interval from localstorage

commit b7db426b45b6361505578cae0d3ba96dcc4d93b1
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Fri Jul 27 14:48:47 2018 -0400

    drag and drop

    drag groups
    drag clusters
    don't allow dropping if groups/clusters are filtered by a search term
    stop autorefresh when dragging

commit 481a8c66cb1a3a7fb4ac297571efb8aa0af72d80
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Thu Jul 26 16:27:56 2018 -0400

    misc fixes

    fix settings page requesting settings twice
    fix settings page not showing the correct tab if no auth
    fix adding a cluster to a group clearing the active issues

commit 22029fc9002b634a64c5f2fa0f20e6ee0770d327
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Thu Jul 26 15:03:30 2018 -0400

    cleanup

    use a single package.json for parliament
    eslint all of parliament and fix errors
    update makefile
    update readme

commit 670cc88912decc85c56e8903d097624ee228aa39
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Wed Jul 25 17:12:54 2018 -0400

    add settings page and remove angular app

commit d46193fe16aba632681d814706a3b7cd3502e3a6
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Fri Jul 20 16:46:14 2018 -0400

    parliament issues page

commit 3883ce3f33eab1ea230488b94385e6d12262f953
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Fri Jul 20 12:36:38 2018 -0400

    only display first 5 issues for a cluster, then allow user to toggle more

commit bf36ba95e708c97c93b41451acec3e53e70ed7aa
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Fri Jul 20 09:46:08 2018 -0400

    intercept response and logout user if there was a problem with the token

commit e532b41b6ba3880de2103d96d781e53802e4fc4f
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Thu Jul 19 17:05:47 2018 -0400

    finish parliament page

commit 5e369381be05fd88292989348438d3f86784dc03
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Wed Jul 18 16:57:40 2018 -0400

    add clusters to parliament page

commit 50c840fd2e67f1dd233be8e95e69f90e6d629ac6
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Tue Jul 17 17:00:33 2018 -0400

    put some stuff on the parliament page

commit 3ca7db03ce13b1ea2879074f88f550931f527927
Author: 31453 <elyse.rinne@teamaol.com>
Date:   Mon Jul 16 17:50:12 2018 -0400

    initial vue parliament scaffolding WIP",babel jshint,"Squashed commit of the following:
Squashed commit of the following:
",5,Utility,,1,0.8,
